cardId,Name,parameter,cardSubtitle,cardFilter4Tri,cardFilter4Display,cardFilter4DisplayBackup,Image,Crédit image,New,Age,cardFilter0Tri,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,Recherche Google,cardSection6Text,URL
20,Thomas Dübendorfer,thomas-dubendorfer,"Fondateur, président et investisseur providentiel de Swiss ICT Investor Club (SICTIC), Zurich",f-facilitateurs,Facilitateurs,Enabler,thomas_dubendorfer.jpg,© Samuel Truempy,New,43 ans,,f-plus-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Thomas+Dübendorfer”,https://www.linkedin.com/in/duebendorfer/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-thomas-dubendorfer.html
21,Raffaello D’Andrea,raffaello-d’andrea,"Institut pour les systèmes dynamiques et les technologies de contrôle, EPF Zurich",f-chercheurs,Chercheurs,Researchers,raffaello_dandrea.jpg,© Bret Hartman ,New,51 ans,,f-plus-40,f-alemanique,f-homme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Raffaello+D’Andrea”,,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-raffaello-d’andrea.html
22,Petra Ehmann,petra-ehmann,"Directrice développement de partenariats commerciaux RA Google, Zurich",f-grandes-entreprises,Grandes entreprises,Corporates,petra_ehmann.jpg,DR?,New,33 ans,,f-moins-40,f-alemanique,f-femme,Services informatiques,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Petra+Ehmann”,https://www.linkedin.com/in/petraehmann/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-petra-ehmann.html
23,Judith Ellens,judith-ellens,"Cofondatrice et responsable scientifique chez Eaternity, Zurich",f-bienfaiteurs,Bienfaiteurs,Do-Gooders,judith_ellens.jpg,DR?,New,36 ans,,f-moins-40,f-alemanique,f-femme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Judith+Ellens”,https://www.linkedin.com/in/judith-ellens-35445465/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-judith-ellens.html
24,Francisco Fernandez,francisco-fernandez,"Fondateur et président du CA Avaloq, Zurich",f-entrepreneurs,Entrepreneurs,Unicorn raisers,francisco_fernandez.jpg,DR?,,56 ans,,f-plus-40,f-alemanique,f-homme,Services informatiques,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Francisco+Fernandez”,https://www.linkedin.com/in/francisco-fernandez-977533/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-francisco-fernandez.html
25,Björn Flückiger,bjorn-fluckiger,"Responsable du desk fintech à la Finma, Berne",f-facilitateurs,Facilitateurs,Enabler,bjorn_fluckiger.jpg,DR?,New,29 ans,,f-moins-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Björn+Flückiger”,https://www.linkedin.com/in/björn-flückiger-208881161/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-bjorn-fluckiger.html
26,Karmen Franinovic,karmen-franinovic,"Directrice d’Interaction Design, Zurich",f-créatifs,Créatifs,Creatives,karmen_franinovic.jpg,DR?,,42 ans,,f-plus-40,f-alemanique,f-femme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Karmen+Franinovic”,https://www.linkedin.com/in/karmenfraninovic/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-karmen-franinovic.html
27,Thomas Frey,thomas-frey,"Fondateur de Giants Software, Zurich",f-créatifs,Créatifs,Creatives,thomas_frey.jpg,© Jan Graber,,37 ans,,f-moins-40,f-alemanique,f-homme,Services informatiques,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Thomas+Frey”,https://www.linkedin.com/in/thomas-frey-73138b13/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-thomas-frey.html
28,Alexander Fries,alexander-fries,"General Partner Alpana Ventures, San Matteo (Californie)",f-entrepreneurs,Entrepreneurs,Expats,alexandre_fries.jpg,DR?,,51 ans,,f-plus-40,f-expat,f-homme,Négoce,«Les recettes d'entrepreneurs romands face au choc de la Silicon Valley» | https://www.letemps.ch/economie/recettes-dentrepreneurs-romands-face-choc-silicon-valley,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Alexander+Fries”,https://www.linkedin.com/in/alexanderfries/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-alexander-fries.html
29,Luca Maria Gambardella,luca-maria-gambardella,"Directeur de l’Institut Dalle Molle d’études sur l’intelligence artificielle, Lugano",f-chercheurs,Chercheurs,Researchers,luca_maria_gambardella.jpg,DR?,New,56 ans,,f-plus-40,f-italienne,f-homme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Luca+Maria+Gambardella”,,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-luca-maria-gambardella.html
