,cardId,Name,cardSubtitle,cardFilter4Tri,cardFilter4Display,Image,Unnamed: 6,Crédit image,New,Age,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,cardSection6Text,URL,Image_URL,File exists
11,11,Alain Chuard,"Fondateur Swisspreneur.org, Palo Alto (Californie)",f-expats,Expats,img/2018/missing.jpg,http://mdb.ringier.ch/dcx_rng/documents#/doc/doc6vzzhih4dpc1jq6si1p2,DR? ,,45 ans,f-plus-40,expat,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/alainchuard/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=alain-chuard,missing.jpg,no
12,12,Kate Darling,"Ethicienne en robotique, Massachusetts Institute of Technology MIT, Boston",f-researchers,Researchers,img/2018/Kate_Darling_Portrait.jpg,,DR? ,New,36 ans,f-moins-40,expat,f-femme,Recherche,(liens Le Temps),https://www.linkedin.com/in/kate-darling-37a181149/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=kate-darling,Kate_Darling_Portrait.jpg,yes
13,13,Christian Decker,"Ingénieur logiciel et chercheur chez Blockstream, Zurich",f-tech-leaders,Tech Leaders,img/2018/Christian_Decker_Portrait.jpg,,© Joseph Khakshouri ,New,33 ans,f-moins-40,f-alemanique,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/christiandecker/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=christian-decker,Christian_Decker_Portrait.jpg,yes
14,14,Marc Degen,"Cofondateur de Modum.io et de Moflix, Zurich",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/Marc_Degen_Portrait.jpg,,DR?,New,41 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/marcdegen/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=marc-degen,Marc_Degen_Portrait.jpg,yes
15,15,Paul-Olivier Dehaye,"CEO Personaldata.io, Lausanne",f-tech-leaders,Tech Leaders,img/2018/Paul_Olivier_Dehaye_Portrait.jpg,,© Olivier Vogelsang,New,37 ans,f-moins-40,f-romand,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/paulolivierdehaye/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=paul-olivier-dehaye,Paul_Olivier_Dehaye_Portrait.jpg,yes
16,16,Leila Delarive,"Cofondatrice et CEO d’Amplify, Lausanne",f-do-gooders,Do-Gooders,img/2018/Leila_Delarive_Portrait.jpg,,© Jean-Christophe Bott |Keystone ,New,41 ans,f-plus-40,f-romand,f-femme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/leiladelarive/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=leila-delarive,Leila_Delarive_Portrait.jpg,yes
17,17,Giovanna Di Marzo Serugendo,"Directrice du Centre universitaire d’informatique, Université de Genève",f-researchers,Researchers,img/2018/missing.jpg,mail envoyé,DR?,New,52 ans,f-plus-40,f-romand,f-femme,Recherche,(liens Le Temps),https://www.linkedin.com/in/giovanna-di-marzo-serugendo-541382/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=giovanna-di-marzo-serugendo,missing.jpg,no
18,18,Daniel Diemers,"PwC Strategy&, Blockchain Leader EMEA, Zurich",f-corporates,Corporates,img/2018/Daniel_Diemers_Portrait.jpg,,DR?,New,45 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/ddiemers/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=daniel-diemers,Daniel_Diemers_Portrait.jpg,yes
19,19,Sabrina Cohen Dumani,"Fondatrice et directrice générale de la Fondation Nomads, Genève",f-do-gooders,Do-Gooders,img/2018/Sabrina_Cohen_Dumani.jpg,,DR?,New,50 ans,f-plus-40,f-romand,f-femme,Développement durable,(liens Le Temps),https://www.linkedin.com/in/sabrinacohendumani/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=sabrina-cohen-dumani,Sabrina_Cohen_Dumani.jpg,yes
20,20,Thomas Dübendorfer,"Fondateur, président et investisseur providentiel de Swiss ICT Investor Club (SICTIC), Zurich",f-enabler,Enabler,img/2018/Thomas_Dubendorfer_Portrait.jpg,,© Samuel Truempy,New,43 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/duebendorfer/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=thomas-dubendorfer,Thomas_Dubendorfer_Portrait.jpg,yes
21,21,Raffaello D’Andrea,"Institut pour les systèmes dynamiques et les technologies de contrôle, EPFZ",f-researchers,Researchers,img/2018/Raffaello_DAndrea_Portrait.jpg,,© Bret Hartman ,New,51 ans,f-plus-40,f-alemanique,f-homme,Recherche,(liens Le Temps),(profil linkedin),https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=raffaello-d’andrea,Raffaello_D'Andrea_Portrait.jpg,yes
22,22,Petra Ehmann,"Directrice développement de partenariats commerciaux RA Google, Zurich",f-corporates,Corporates,img/2018/Petra_Ehmann_Portrait.jpg,,DR?,New,33 ans,f-moins-40,f-alemanique,f-femme,Négoce,(liens Le Temps),https://www.linkedin.com/in/petraehmann/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=petra-ehmann,Petra_Ehmann_Portrait.jpg,yes
23,23,Judith Ellens,"Cofondatrice et responsable scientifique chez Eaternity, Zurich",f-do-gooders,Do-Gooders,img/2018/Judith_Ellens_Portrait.jpg,,DR?,New,36 ans,f-moins-40,f-alemanique,f-femme,Recherche,(liens Le Temps),https://www.linkedin.com/in/judith-ellens-35445465/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=judith-ellens,Judith_Ellens_Portrait.jpg,yes
24,24,Francisco Fernandez,"Fondateur et président du CA Avaloq, Zurich",f-unicorn-raisers,Unicorn raisers,img/2018/Francisco_Fernandez_Portrait.jpg,,DR?,,56 ans,f-plus-40,f-alemanique,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/francisco-fernandez-977533/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=francisco-fernandez,Francisco_Fernandez_Portrait.jpg,yes
25,25,Björn Flückiger,"Responsable du desk fintech à la Finma, Berne",f-enabler,Enabler,img/2018/Bjorn_Fluckiger_Portrait.jpg,,DR?,New,29 ans,f-moins-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/björn-flückiger-208881161/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=bjorn-fluckiger,Bjorn_Fluckiger_Portrait.jpg,yes
26,26,Karmen Franinovic,"Directrice d’Interaction Design, Zurich",f-creatives,Creatives,img/2018/Karmen_Franinovic_Portrait.jpg,,DR?,,42 ans,f-plus-40,f-alemanique,f-femme,Recherche,(liens Le Temps),https://www.linkedin.com/in/karmenfraninovic/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=karmen-franinovic,Karmen_Franinovic_Portrait.jpg,yes
