,cardId,Name,cardSubtitle,cardFilter4Tri,cardFilter4Display,Image,Unnamed: 6,Crédit image,New,Age,cardFilter0Tri,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,Recherche Google,cardSection6Text,URL,Image_URL,File exists
50,51,Moritz Lechner,"Fondateur et coprésident du conseil d’administration de Sensirion, Stäfa (ZH)",f-corporates,Corporates,img/2018/moritz_lechner.jpg,,DR?,,49 ans,,f-plus-40,f-alemanique,f-homme,Développement durable,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Moritz+Lechner”,https://at.linkedin.com/in/moritz-lechner-542543160,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=moritz-lechner,moritz_lechner.jpg,yes
51,52,Adrian Locher,"Fondateur DeinDeal, cofondateur Merantix, Berlin et Zurich",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/adrian_locher.jpg,,DR?,,36 ans,,f-moins-40,f-alemanique,f-homme,Recherche,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Adrian+Locher”,https://de.linkedin.com/in/adrianlocher,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=adrian-locher,adrian_locher.jpg,yes
52,53,Ariel Lüdi,"Fondateur de Hammer Team, Cham (ZG)",f-investors,Investors,img/2018/ariel_ludi.jpg,,© Martin Vogel ,,59 ans,,f-plus-40,f-alemanique,f-homme,Finance,«Comment Zoug vend sa Crypto Valley aux délégations étrangères» | https://www.letemps.ch/economie/zoug-vend-crypto-valley-aux-delegations-etrangeres,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Ariel+Lüdi”,https://ch.linkedin.com/in/arielluedi,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=ariel-ludi,ariel_ludi.jpg,yes
53,54,Christophe Maire,"Fondateur et CEO d’Atlantic Labs, Berlin",f-expats,Expats,img/2018/christophe_maire.jpg,,© A. Chudowski/WirtschaftsWoche,,52 ans,,f-plus-40,f-expat,f-homme,Finance,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Christophe+Maire”,https://www.linkedin.com/in/christophe-maire-9073196/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=christophe-maire,christophe_maire.jpg,yes
54,55,David Marcus,"Vice-président Blockchain, Facebook, Menlo Park (Californie)",f-corporates,Corporates,img/2018/david_marcus.jpg,,© David Paul Morris,,45 ans,,f-plus-40,f-expat,f-homme,Blockchain,«Le Suisse David Marcus quitte la direction de Messenger» | https://www.letemps.ch/economie/suisse-david-marcus-quitte-direction-messenger,https://www.google.ch/search?q=site%3Awww.letemps.ch+“David+Marcus”,https://www.linkedin.com/in/dmarcus/fr,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=david-marcus,david_marcus.jpg,yes
55,56,Marta Martinez-Camara,"Cofondatrice et CEO de Girlscoding.org, Lausanne",f-do-gooders,Do-Gooders,img/2018/marta_martinez_camara.jpg,,DR?,New,32 ans,,f-moins-40,f-romand,f-femme,Recherche,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Marta+Martinez-Camara”,https://ch.linkedin.com/in/marta-martinez-camara-84284bb4,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=marta-martinez-camara,marta_martinez_camara.jpg,yes
56,57,Pierre Maudet,"Président du gouvernement genevois, Genève",f-enabler,Enabler,img/2018/pierre_maudet.jpg,,DR?,New,40 ans,,f-plus-40,f-romand,f-homme,???,«La révolution numérique selon Pierre Maudet» |  https://www.letemps.ch/images/video/economie/revolution-numerique-selon-pierre-maudet,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Pierre+Maudet”,https://ch.linkedin.com/in/pierremaudet,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=pierre-maudet-,pierre_maudet.jpg,yes
57,58,Lorenz Meier,"Fondateur PX4, Zurich",f-tech-leaders,Tech Leaders,img/2018/lorenz_meier.jpg,,© Oliver Bartenschlager,New,34 ans,,f-moins-40,f-alemanique,f-homme,robotique-drone?,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Lorenz+Meier”,https://ch.linkedin.com/in/meierlorenz,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=lorenz-meier,lorenz_meier.jpg,yes
58,59,Jordi Montserrat,"Directeur de Venturelab, Lausanne",f-enabler,Enabler,img/2018/jordi_montserrat.jpg,,© Michael Kretz,,48 ans,,f-plus-40,f-romand,f-homme,Finance,«Venture Kick a créé près de 400 start-up» | https://www.letemps.ch/economie/venture-kick-cree-pres-400-startup,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Jordi+Montserrat”,https://www.linkedin.com/in/jordimontserrat/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=jordi-montserrat,jordi_montserrat.jpg,yes
59,60,Monique Morrow,"Cofondatrice et présidente de The Humanized Internet, Zurich",f-do-gooders,Do-Gooders,img/2018/monique_morrow.jpg,,DR?,New,61 ans,,f-plus-40,f-alemanique,f-femme,Blockchain?,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Monique+Morrow”,https://www.linkedin.com/in/moniquejeannemorrow/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=monique-morrow,monique_morrow.jpg,yes
60,61,Michael Nilles,"Chief Digital Officer (CDO) de Schindler, Ebikon",f-corporates,Corporates,img/2018/michael_nilles.jpg,,DR?,New,45 ans,,f-plus-40,f-alemanique,f-homme,Services informatiques,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Michael+Nilles”,https://www.linkedin.com/in/michaelnilles/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=michael-nilles,michael_nilles.jpg,yes
61,62,David Nüscheler,"Vice-président Enterprise Technology Adobe, Salt Lake City, Utah",f-expats,Expats,img/2018/david_nuscheler.jpg,,DR?,New,43 ans,,f-plus-40,f-expat,f-homme,Services informatiques,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“David+Nüscheler”,https://www.linkedin.com/in/davidnuescheler/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=david-nuscheler,david_nuscheler.jpg,yes
